"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 07, 2023","22,089.4","22,410.1","22,535.1","21,968.6","288.67K","-1.43%"
"Mar 06, 2023","22,410.0","22,428.2","22,595.4","22,320.1","215.31K","-0.08%"
"Mar 05, 2023","22,428.3","22,347.1","22,636.7","22,213.5","160.57K","0.36%"
"Mar 04, 2023","22,347.1","22,354.7","22,403.7","22,167.4","123.93K","-0.03%"
"Mar 03, 2023","22,354.4","23,465.6","23,473.4","22,051.9","344.63K","-4.73%"
"Mar 02, 2023","23,465.4","23,642.2","23,780.5","23,208.7","249.26K","-0.75%"
"Mar 01, 2023","23,642.2","23,130.6","23,914.1","23,025.3","328.77K","2.21%"
"Feb 28, 2023","23,130.5","23,494.0","23,595.0","23,033.8","275.10K","-1.55%"
"Feb 27, 2023","23,494.1","23,558.7","23,876.2","23,166.8","297.65K","-0.27%"
"Feb 26, 2023","23,558.7","23,166.1","23,671.8","23,066.0","209.12K","1.69%"
"Feb 25, 2023","23,166.1","23,191.3","23,215.3","22,777.4","198.35K","-0.11%"
"Feb 24, 2023","23,191.5","23,936.4","24,123.4","22,970.3","367.99K","-3.11%"
"Feb 23, 2023","23,936.3","24,186.6","24,590.4","23,637.9","417.46K","-1.03%"
"Feb 22, 2023","24,186.6","24,450.7","24,474.3","23,593.4","400.24K","-1.08%"
"Feb 21, 2023","24,450.7","24,839.5","25,236.8","24,160.8","395.97K","-1.57%"
"Feb 20, 2023","24,839.5","24,302.8","25,085.4","23,868.6","363.02K","2.21%"
"Feb 19, 2023","24,302.9","24,631.3","25,175.2","24,273.7","312.64K","-1.33%"
"Feb 18, 2023","24,631.4","24,573.5","24,838.9","24,457.0","223.77K","0.24%"
"Feb 17, 2023","24,573.5","23,538.2","24,984.7","23,373.0","523.85K","4.39%"
"Feb 16, 2023","23,539.6","24,328.1","25,233.8","23,525.9","484.50K","-3.24%"
"Feb 15, 2023","24,327.9","22,198.5","24,330.9","22,050.8","401.53K","9.59%"
"Feb 14, 2023","22,198.5","21,776.9","22,308.6","21,556.2","378.39K","1.96%"
"Feb 13, 2023","21,772.6","21,782.7","21,887.5","21,418.7","312.04K","-0.07%"
"Feb 12, 2023","21,786.8","21,859.9","22,080.7","21,653.1","211.65K","-0.33%"
"Feb 11, 2023","21,859.8","21,627.4","21,902.9","21,605.3","182.07K","1.04%"
"Feb 10, 2023","21,635.0","21,792.5","21,933.6","21,491.7","352.79K","-0.72%"
"Feb 09, 2023","21,792.5","22,964.6","23,003.6","21,744.6","425.44K","-5.10%"
"Feb 08, 2023","22,964.6","23,251.7","23,425.1","22,691.7","289.12K","-1.23%"
"Feb 07, 2023","23,251.7","22,761.8","23,338.8","22,748.2","318.98K","2.15%"